Universitas,Prodi,Rank
universitas negeri surabaya,bisnis digital,999.0
universitas alwashliyah,ekonomi syariah,999.0
universitas islam negeri sunan ampel,ilmu ekonomi,999.0
sekolah tinggi ilmu ekonomi gema widya bangsa,manajemen,999.0
universitas islam negeri alauddin makassar,perbankan syariah,999.0
universitas muhammadiyah surabaya,perbankan syariah,999.0
universitas islam negeri sjech m djamil djambek bukittinggi,manajemen bisnis syariah,999.0
politeknik caltex riau,akuntansi perpajakan,999.0
institut teknologi dan sains nahdlatul ulama pekalongan,akuntansi,999.0
universitas kristen indonesia toraja,manajemen,999.0
universitas negeri jakarta,manajemen,999.0
universitas islam bunga bangsa cirebon,ekonomi syariah,999.0
universitas islam kh ruhiat cipasung,ekonomi syariah,999.0
universitas safin pati,ilmu keperawatan,999.0
universitas murni teguh,fisioterapi,999.0
universitas muhammadiyah malang,fisioterapi,999.0
universitas mohammad natsir bukittinggi,gizi,999.0
universitas karya husada semarang,ilmu keperawatan,999.0
universitas gadjah mada,farmasi,2.0
universitas duta bangsa surakarta,rekam medik dan informasi kesehatan,999.0
universitas airlangga,kesehatan masyarakat,4.0
universitas adiwangsa jambi,gizi,999.0
sekolah tinggi ilmu kesehatan binalita sudama,keperawatan,999.0
sekolah tinggi ilmu kesehatan amanah makassar,keperawatan gigi,999.0
sekolah tinggi ilmu farmasi padang,farmasi,999.0
sekolah tinggi ilmu farmasi bhakti pertiwi,farmasi,999.0
politeknik kesehatan kementerian kesehatan jambi,teknologi laboratorium medis,999.0
akademi pendidikan kesehatan talitakum,rekam medis dan informasi kesehatan,999.0
akademi keperawatan andakara,keperawatan,999.0
politeknik insan tazakka,teknologi rekayasa manufaktur,999.0
politeknik insan tazakka,teknologi rekayasa logistik,999.0
universitas muhammadiyah sumatera barat,manajemen,999.0
sekolah tinggi ilmu sosial dan ilmu politik wira bhakti,administrasi bisnis,999.0
universitas komputer indonesia,akuntansi,999.0
universitas jabal ghafur,manajemen,999.0
institut teknologi dan bisnis sabda setia,bisnis digital,999.0
universitas muhammadiyah makassar,ekonomi pembangunan,999.0
universitas sulawesi raya,manajemen,999.0
universitas almuslim,manajemen ritel,999.0
universitas widya gama,bisnis digital,999.0
sekolah tinggi agama islam al hidayah tasikmalaya,ekonomi syariah,999.0
politeknik pgri banten,bisnis dan manajemen ritel,999.0
akademi manajemen informatika komputer universal,manajemen sumber daya manusia sektor publik,999.0
universitas bhakti asih tangerang,manajemen,999.0
politeknik negeri samarinda,desain produk kayu dan serat,999.0
universitas islam negeri sayyid ali rahmatullah tulungagung,aqidah dan filsafat islam,999.0
universitas islam negeri sultan syarif kasim riau,pendidikan guru madrasah ibtidaiyah,999.0
universitas islam negeri sultan syarif kasim riau,manajemen pendidikan islam,999.0
universitas pgri semarang,hukum,999.0
universitas udayana,industri perjalanan wisata,999.0
institut agama islam negeri kediri,ilmu hadis,999.0
universitas islam negeri sjech m djamil djambek bukittinggi,pariwisata syariah,999.0
universitas muhammadiyah surabaya,hukum keluarga,999.0
stai brebes,bimbingan dan konseling islam,999.0
universitas islam 45,agribisnis,999.0
sekolah tinggi teologi misi injili indonesia sintang,teologi,999.0
sekolah tinggi agama islam negeri sultan abdurrahman kepulauan riau,hukum ekonomi syariah,999.0
institut agama islam negeri kediri,hukum tatanegara,999.0
stai miftahul huda alazhar banjar,hukum keluarga,999.0
iain syekh nurjati cirebon,sosiologi agama,999.0
institut agama kristen negeri kupang,psikologi kristen,999.0
universitas islam balitar,ilmu administrasi negara,999.0
universitas islam ahmad dahlan,hukum pidana islam,999.0
sekolah tinggi agama hindu lampung,ekonomi artha sastra,999.0
universitas islam negeri sumatera utara medan,ilmu perpustakaan,999.0
institut agama islam negeri madura,ilmu al quran dan tafsir,999.0
stai binamadani tangerang,hukum ekonomi syariah,999.0
institut agama islam negeri syaikh abdurrahman siddik bangka belitung,pariwisata syariah,999.0
universitas borobudur,ilmu hukum,999.0
universitas islam negeri sulthan thaha saifuddin jambi,pendidikan bahasa arab,999.0
institut agama islam negeri metro,pendidikan bahasa arab,999.0
institut agama islam negeri metro,tadris bahasa inggris,999.0
institut agama islam negeri metro,pendidikan agama islam,999.0
universitas islam negeri syekh aii hasan ahmad addary padangsidimpuan,pendidikan agama islam,999.0
universitas gadjah mada,bahasa dan sastra prancis,2.0
iain palangkaraya,komunikasi dan penyiaran islam,999.0
politeknik pariwisata makassar,tata hidang,999.0
universitas islam negeri syarif hidayatullah,psikologi,999.0
iain manado,sosiologi agama,999.0
universitas darma agung,manajemen,999.0
universitas sains alqur an,hukum ekonomi syariah,999.0
universitas aki,perpajakan,999.0
universitas islam tribakti lirboyo kediri,pendidikan agama islam,999.0
politeknik pariwisata bali,destinasi pariwisata,999.0
universitas islam negeri antasari banjarmasin,ilmu alquran dan tafsir,999.0
universitas pattimura,ilmu kelautan,999.0
institut ilmu keislaman annuqayah gulukguluk sumenep,hukum ekonomi syariah,999.0
universitas islam negeri sultan syarif kasim riau,bimbingan konseling islam,999.0
universitas budi luhur,arsitektur,999.0
universitas islam negeri sunan gunung djati,ilmu komunikasi,999.0
universitas islam negeri sultan syarif kasim riau,peternakan,999.0
institut agama islam negeri kediri,pendidikan bahasa arab,999.0
universitas islam negeri antasari banjarmasin,studi agama agama,999.0
universitas hasanuddin,agrobisnis perikanan,11.0
iain manado,pendidikan agama islam,999.0
akademi teknologi industri dewantara palopo,mesin otomotif,999.0
universitas muhammadiyah gorontalo,teknik sipil,999.0
politeknik kesehatan kementerian kesehatan surakarta,keperawatan,999.0
sekolah tinggi agama islam darul quran payakumbuh,pendidikan agama islam,999.0
universitas muhammadiyah karanganyar,pendidikan kepelatihan olahraga,999.0
sekolah tinggi agama islam arrosyid,pendidikan guru madrasah ibtidaiyah,999.0
universitas muhammadiyah makassar,pendidikan sosiologi,999.0
institut agama islam negeri ponorogo,tadris ilmu pengetahuan alam,999.0
universitas al washliyah darussalam banda aceh,pendidikan geografi,999.0
universitas cipta mandiri,pendidikan guru sekolah dasar,999.0
universitas cipta mandiri,pendidikan biologi,999.0
universitas cipta mandiri,pendidikan matematika,999.0
universitas muhammadiyah tapanuli selatan,pendidikan fisika,999.0
institut keguruan dan ilmu pendidikan widya darma,pendidikan pancasila dan kewarganegaraan,999.0
universitas muhammadiyah makassar,pendidikan guru pendidikan anak usia dini,999.0
universitas khairun,pendidikan biologi,999.0
institut agama islam negeri kediri,pendidikan agama islam,999.0
sekolah tinggi agama islam darul hikmah tulungagung,pendidikan bahasa arab,999.0
sekolah tinggi ilmu tarbiyah ahlussunnah bukittinggi,manajemen pendidikan islam,999.0
universitas serang raya,pendidikan agama islam,999.0
universitas serang raya,tadris bahasa inggris,999.0
institut agama islam ibrahimy genteng banyuwangi,manajemen pendidikan islam,999.0
universitas audi indonesia,pendidikan jasmani,999.0
institut pembina rohani islam jakarta,pendidikan guru madrasah ibtidaiyah,999.0
sekolah tinggi tarbiyah otto iskandar dinata banten,pendidikan agama islam,999.0
universitas muhammadiyah karanganyar,pendidikan bahasa arab,999.0
sekolah tinggi ilmu tarbiyah misbahudin ahmad,manajemen pendidikan islam,999.0
sekolah tinggi agama islam al amanah algontory,pendidikan guru madrasah ibtidaiyah,999.0
sekolah tinggi agama islam al amanah algontory,manajemen pendidikan islam,999.0
universitas muhammadiyah gorontalo,pendidikan matematika,999.0
universitas muhammadiyah gorontalo,pendidikan ilmu pengetahuan alam,999.0
universitas handayani makassar,pendidikan teknologi informasi,999.0
sekolah tinggi ilmu alquran kepulauan riau,pendidikan agama islam,999.0
sekolah tinggi teologi the truth jakarta,pendidikan agama kristen,999.0
universitas veteran bangun nusantara,pendidikan guru pendidikan anak usia dini,999.0
universitas veteran bangun nusantara,pendidikan jasmani,999.0
universitas mercubaktijaya,pendidikan khusus,999.0
universitas qamarul huda badaruddin bagu,pendidikan ilmu pengetahuan alam,999.0
universitas kutai kartanegara tenggarong,pendidikan guru pendidikan anak usia dini,999.0
sekolah tinggi teologi pancasilacitta malang,pendidikan agama kristen,999.0
sekolah tinggi keguruan dan ilmu pendidikan kristen sorong selatan,pendidikan bahasa dan sastra indonesia,999.0
institut agama islam ibrahimy genteng banyuwangi,tadris matematika,999.0
sekolah tinggi agama islam darul hikmah tulungagung,manajemen pendidikan islam,999.0
sekolah tinggi ilmu syariah ummul ayman pidie jaya,pendidikan agama islam,999.0
sekolah tinggi ilmu tarbiyah rakeyan santang karawang,pendidikan agama islam,999.0
universitas negeri padang,pendidikan ilmu pengetahuan alam,21.0
universitas jember,pendidikan ilmu pengetahuan alam,999.0
sekolah tinggi keguruan dan ilmu pendidikan taman siswa bima,pendidikan guru sekolah dasar,999.0
universitas muhammadiyah surabaya,pendidikan matematika,999.0
universitas bhayangkara jakarta raya,pendidikan kepelatihan olah raga,999.0
institut agama islam negeri langsa,pendidikan islam anak usia dini,999.0
institut keislaman tuah negeri,pendidikan agama islam,999.0
universitas nggusuwaru,pendidikan guru sekolah dasar,999.0
universitas nggusuwaru,pendidikan guru pendidikan anak usia dini,999.0
universitas muhammadiyah palangka raya,pendidikan bahasa inggris,999.0
universitas muhammadiyah palangka raya,pendidikan biologi,999.0
sekolah tinggi islam blambangan banyuwangi,pendidikan guru madrasah ibtidaiyah,999.0
sekolah tinggi agama islam al badar cipulus purwakarta,pendidikan bahasa arab,999.0
sekolah tinggi keguruan dan ilmu pendidikan seram raya,pendidikan ekonomi,999.0
institut nahdlatul ulama ciamis,pendidikan agama islam,999.0
sekolah tinggi ilmu tarbiyah muhammad mardiyana,pendidikan guru madrasah ibtidaiyah,999.0
universitas putra abadi langkat,teknologi informasi,999.0
universitas katolik santo thomas,sains data,999.0
universitas panca bhakti,fisioterapi,999.0
universitas muhammadiyah lamongan,farmasi,999.0
institut kesehatan deli husada deli tua,administrasi rumah sakit,999.0
iain syekh nurjati cirebon,matematika,999.0
universitas kebangsaan republik indonesia,matematika,999.0
universitas kebangsaan republik indonesia,fisika,999.0
universitas islam negeri sultan maulana hasanuddin banten,kimia,999.0
universitas islam negeri sultan maulana hasanuddin banten,matematika,999.0
universitas singaperbangsa karawang,fisika,999.0
universitas dinamika bangsa,komputerisasi akuntansi,999.0
universitas muhammadiyah sorong,teknik informatika,999.0
institut teknologi mitra gama,sistem informasi,999.0
universitas flores,sistem informasi,999.0
universitas budi luhur,teknik informatika,999.0
politeknik negeri padang,teknik komputer,999.0
politeknik negeri padang,manajemen informatika,999.0
sekolah tinggi teknologi payakumbuh,teknik komputer,999.0
universitas perjuangan tasikmalaya,teknik informatika,999.0
universitas islam raden rahmat,teknik informatika,999.0
universitas andalas,informatika,24.0
universitas muhammadiyah jember,sistem informasi,999.0
universitas bunda mulia,sistem informasi,999.0
universitas nahdlatul ulama yogyakarta,informatika,999.0
universitas muhammadiyah pringsewu lampung,sistem dan teknologi informasi,999.0
universitas pembangunan panca budi,sistem komputer,999.0
politeknik medica farma husada mataram,teknologi rekayasa perangkat lunak,999.0
institut teknologi almuhajirin,sistem informasi,999.0
universitas parna raya,sistem informasi,999.0
universitas widya gama,teknik informatika,999.0
universitas islam syekhyusuf,teknik informatika,999.0
stmik triguna dharma,manajemen informatika,999.0
institut teknologi dan bisnis swadharma,sistem informasi,999.0
universitas respati indonesia,ilmu komputer,999.0
sekolah tinggi informatika komputer artha buana,teknik informatika,999.0
universitas sultan ageng tirtayasa,informatika,999.0
institut teknologi del,teknologi rekayasa perangkat lunak,999.0
universitas putra indonesia yptk padang,sistem informasi,999.0
institut informatika indonesia surabaya,sistem informasi,999.0
politeknik takumi,teknologi informasi,999.0
akademi manajemen informatika dan komputer polibisnis,teknik komputer,999.0
akademi manajemen informatika dan komputer polibisnis,manajemen informatika,999.0
akademi manajemen informatika dan komputer polibisnis,komputerisasi akuntansi,999.0
institut teknologi dan bisnis riyadlul ulum,sistem informasi,999.0
universitas merdeka pasuruan,teknik informatika,999.0
universitas sebelas maret,teknik informatika,13.0
universitas merdeka pasuruan,rekayasa perangkat lunak,999.0
politeknik sawunggalih aji,teknik informatika,999.0
stmik palangka raya,sistem informasi,999.0
universitas nahdlatul ulama kalimantan timur,teknik informatika,999.0
institut teknologi del,teknologi komputer,999.0
universitas audi indonesia,sistem informasi,999.0
universitas nahdlatul ulama cirebon,sistem informasi,999.0
universitas nahdlatul ulama cirebon,teknik informatika,999.0
universitas borobudur,teknik informatika,999.0
universitas muhammadiyah semarang,informatika,999.0
universitas logistik dan bisnis internasional,sains data,999.0
institut teknologi dan sains nahdlatul ulama lampung,teknologi informasi,999.0
institut teknologi dan sains nahdlatul ulama lampung,teknik komputer,999.0
politeknik negeri banyuwangi,teknologi rekayasa perangkat lunak,999.0
politeknik siber dan sandi negara,rekayasa kriptografi,999.0
politeknik siber dan sandi negara,rekayasa perangkat keras kriptografi,999.0
sekolah tinggi ilmu kesehatan sehat medan,kebidanan,999.0
universitas bina sarana informatika,teknologi informasi,999.0
universitas bina sarana informatika,sistem informasi,999.0
universitas bina sarana informatika,informatika,999.0
universitas nusa bangsa,manajemen,999.0
universitas balikpapan,akuntansi,999.0
institut teknologi dan bisnis ahmad dahlan lamongan,akuntansi,999.0
universitas veteran bangun nusantara,rekam medis dan informasi kesehatan,999.0
universitas muhammadiyah ahmad dahlan cirebon,administrasi rumah sakit,999.0
sekolah tinggi ilmu kesehatan sihat beurata banda aceh,administrasi kesehatan,999.0
universitas muhammadiyah maumere,administrasi kesehatan,999.0
universitas islam negeri kiai haji achmad siddiq jember,akuntansi syariah,999.0
universitas islam negeri kiai haji achmad siddiq jember,manajemen zakat dan wakaf,999.0
politeknik manufaktur ceper,manajemen industri,999.0
universitas pelita bangsa,kewirausahaan,999.0
universitas almuslim,administrasi bisnis,999.0
institut teknologi bisnis aas indonesia,akuntansi,999.0
universitas nahdlatul ulama sulawesi tenggara,akuntansi,999.0
universitas panca marga,akuntansi,999.0
universitas persatuan guru republik indonesia semarang,bisnis digital,999.0
universitas gajayana,ekonomi pembangunan,999.0
universitas pembangunan nasional veteran jakarta,ekonomi syariah,999.0
institut transportasi dan logistik trisakti,logistik,999.0
institut agama islam ibrahimy genteng banyuwangi,perbankan syariah,999.0
universitas islam negeri raden mas said surakarta,perbankan syariah,999.0
sekolah tinggi ilmu ekonomi widya wiwaha,akuntansi,999.0
universitas pesantren tinggi darul ulum,matematika,999.0
universitas presiden,informatika,999.0
universitas presiden,sistem informasi,999.0
universitas islam darul ulum,informatika,999.0
universitas negeri gorontalo,teknik komputer,999.0
institut teknologi dan bisnis carnegie,sistem informasi,999.0
sekolah tinggi ilmu kesehatan darmo,kebidanan,999.0
sekolah tinggi ilmu kesehatan dharma landbouw,manajemen informasi kesehatan,999.0
sekolah tinggi ilmu kesehatan panti kosala,keperawatan,999.0
universitas bhakti asih tangerang,administrasi rumah sakit,999.0
universitas dhyana pura,manajemen informasi kesehatan,999.0
universitas muhammadiyah lamongan,keselamatan dan kesehatan kerja,999.0
universitas widya nusantara,teknologi laboratorium medis,999.0
universitas islam negeri arraniry banda aceh,arsitektur,999.0
universitas katolik widya mandira kupang,ilmu filsafat,999.0
stain bengkalis,sosiologi agama,999.0
universitas negeri padang,perpustakaan dan ilmu informasi,21.0
akademi maritim pembangunan jakarta,ketatalaksanaan pelayaran niaga dan kepelabuhan,999.0
universitas udayana,ilmu sejarah,999.0
politeknik negeri sambas,agribisnis perikanan dan kelautan,999.0
universitas pendidikan mandalika,kehutanan,999.0
universitas islam negeri arraniry banda aceh,studi agamaagama,999.0
iain syekh nurjati cirebon,tadris ilmu pengetahuan sosial,999.0
universitas islam negeri syekh aii hasan ahmad addary padangsidimpuan,komunikasi dan penyiaran islam,999.0
universitas islam negeri alauddin makassar,studi agamaagama,999.0
universitas hang tuah pekanbaru,hukum,999.0
universitas yayasan pendidikan imam bonjol majalengka,psikologi,999.0
universitas megarezky,hukum bisnis,999.0
stia abdul azis kataloka,ilmu administrasi niaga,999.0
universitas hafshawaty zainul hasan,ilmu keolahragaan,999.0
sekolah tinggi teologi elshadday surakarta,teologi,999.0
universitas muhammadiyah papua,psikologi,999.0
politeknik bumi akpelni,manajemen pelabuhan dan logistik maritim,999.0
universitas jakarta,ilmu hubungan internasional,999.0
sekolah tinggi teologi reformasi wamena,teologi,999.0
universitas teknologi nusantara,teknologi hasil pertanian,999.0
universitas setia budi,psikologi,999.0
universitas kristen indonesia paulus,ilmu hukum,999.0
universitas muhammadiyah sumatera barat,agroteknologi,999.0
universitas islam negeri sjech m djamil djambek bukittinggi,aqidah dan filsafat islam,999.0
universitas mahasaraswati denpasar,hukum,999.0
universitas mulawarman,ilmu kelautan,999.0
universitas lampung,hubungan masyarakat,999.0
universitas widyatama,bahasa jepang,999.0
universitas veteran bangun nusantara,teknologi hasil pertanian,999.0
stisip margarana,ilmu administrasi negara,999.0
universitas veteran bangun nusantara,agribisnis,999.0
politeknik bentara citra bangsa,pendidikan inklusi,999.0
universitas teknologi nusantara,psikologi,999.0
universitas komputer indonesia,desain grafis,999.0
universitas nahdlatul ulama cirebon,peternakan,999.0
institut parahikma indonesia,hukum tatanegara,999.0
universitas nurul hasan bacan,agribisnis,999.0
universitas khairun,kehutanan,999.0
universitas sisingamangaraja xii tapanuli utara,ilmu hukum,999.0
akademi maritim sapta samudra,ketatalaksanaan pelayaran niaga dan kepel,999.0
universitas bina nusantara,film,10.0
institut teknologi dan pendidikan markandeya bali,pariwisata budaya dan keagamaan,999.0
universitas graha karya muara bulian,hukum,999.0
stai riyadhul jannah subang,bimbingan penyuluhan islam,999.0
stmik muara dua,sistem informasi,999.0
universitas kristen krida wacana,psikologi,999.0
politeknik pariwisata medan,destinasi pariwisata,999.0
stai sukabumi,manajemen haji dan umroh,999.0
universitas islam negeri mataram,sosiologi agama,999.0
sekolah tinggi agama islam daarut tauhiid,komunikasi dan penyiaran islam,999.0
universitas islam negeri profesor kiai haji saifuddin zuhri purwokerto,sejarah peradaban islam,999.0
universitas adzkia,pendidikan khusus,999.0
universitas pgri wiranegara,pendidikan guru madrasah ibtidaiyah,999.0
universitas audi indonesia,pendidikan guru pendidikan anak usia dini,999.0
sekolah tinggi agama islam ddi mangkoso,pendidikan bahasa arab,999.0
universitas muhammadiyah gresik,kebidanan,999.0
politeknik negeri ujung pandang,analisis kimia,999.0
stai auliaurrasyidin,ekonomi syariah,999.0
universitas tama jagakarsa,akuntansi,999.0
universitas ahmad dahlan,perbankan syariah,999.0
sekolah tinggi ekonomi dan bisnis islam badri mashduqi,manajemen bisnis syariah,999.0
universitas teknologi nusantara,manajemen,999.0
universitas al washliyah,manajemen,999.0
universitas bhamada slawi,bisnis digital,999.0
stai nahdlatul ulama madiun,ekonomi syariah,999.0
stai denpasar bali,ekonomi syariah,999.0
institut agama islam negeri bone,ekonomi syariah,999.0
politeknik ganesha medan,akuntansi,999.0
sekolah tinggi ilmu kesehatan serulingmas,keperawatan,999.0
institut kesehatan helvetia,fisioterapi,999.0
akademi teknologi radiologi bogor,radiologi,999.0
universitas muhammadiyah palembang,teknik sipil,999.0
universitas iba,teknik sipil,999.0
universitas bandar lampung,teknik mesin,999.0
sekolah tinggi teknologi nusantara lampung,teknik industri,999.0
universitas jakarta,teknik sipil,999.0
universitas muhammadiyah jakarta,teknik sipil,999.0
universitas 17 agustus 1945 jakarta,teknik elektro,999.0
universitas satya negara indonesia,teknik lingkungan,999.0
universitas satyagama,teknik elektro,999.0
universitas bhayangkara jakarta raya,teknik lingkungan,999.0
universitas tanri abeng,teknik sipil,999.0
universitas sampoerna,teknik mesin,999.0
institut sains dan teknologi nasional,teknik mesin,999.0
institut teknologi indonesia,teknik industri,999.0
institut teknologi indonesia,teknik kimia,999.0
institut sains dan teknologi alkamal,teknik kimia,999.0
institut transportasi dan logistik trisakti,transportasi,999.0
akademi maritim djadajat,teknika,999.0
akademi maritim pembangunan jakarta,teknika,999.0
politeknik astra,mekatronika,999.0
universitas winaya mukti,teknik lingkungan,999.0
universitas winaya mukti,teknik sipil,999.0
universitas muhammadiyah cirebon,teknik industri,999.0
universitas lintas internasional indonesia,teknik elektro,999.0
universitas global jakarta,teknik elektro,999.0
universitas global jakarta,teknik mesin,999.0
universitas global jakarta,teknik sipil,999.0
universitas kebangsaan republik indonesia,teknik elektro,999.0
universitas kebangsaan republik indonesia,teknik mesin,999.0
institut teknologi sains bandung,teknik metalurgi,999.0
institut teknologi sains bandung,teknik pertambangan,999.0
institut teknologi petroleum balongan,perminyakan,999.0
sekolah tinggi teknologi bina tunggal,teknik industri,999.0
sekolah tinggi teknologi texmaco,teknik elektro,999.0
sekolah tinggi teknik karawang,teknik mesin,999.0
sekolah tinggi teknologi duta bangsa,teknik mesin,999.0
akademi komunitas toyota indonesia,teknik pemeliharaan mesin otomasi,999.0
universitas islam indonesia,teknik mesin,25.0
universitas ahmad dahlan,teknik kimia,999.0
universitas akprind indonesia,teknologi mesin,999.0
institut teknologi yogyakarta,teknik pertambangan,999.0
institut teknologi nasional yogyakarta,teknik geologi,999.0
institut teknologi nasional yogyakarta,teknik mesin,999.0
universitas kristen satya wacana,teknik elektro,999.0
universitas muria kudus,teknik industri,999.0
universitas muria kudus,teknik mesin,999.0
universitas islam batik,teknik industri,999.0
universitas semarang,teknik elektro,999.0
universitas semarang,teknik sipil,999.0
universitas muhammadiyah semarang,rekayasa sipil,999.0
universitas sains al quran,teknik mesin,999.0
universitas dian nuswantoro,teknik biomedis,999.0
universitas muhadi setiabudi,teknik sipil,999.0
universitas nahdlatul ulama al ghazali cilacap,teknik industri,999.0
universitas nahdlatul ulama al ghazali cilacap,teknik kimia,999.0
universitas muhammadiyah pekajangan pekalongan,teknik mesin,999.0
sekolah tinggi teknik wiworotomo,teknik industri,999.0
stt minyak dan gas cilacap,teknik pengolahan minyak dan gas,999.0
stt minyak dan gas cilacap,teknik perminyakan,999.0
politeknik piksi ganesha indonesia,teknik elektronika,999.0
universitas katolik widya mandala surabaya,teknik elektro,999.0
universitas katolik widya mandala surabaya,teknik kimia,999.0
universitas surabaya,teknik kimia,999.0
universitas bhayangkara surabaya,teknik elektro,999.0
universitas wijaya putra,teknik industri,999.0
universitas 45 surabaya,teknik industri,999.0
universitas islam malang,teknik sipil,999.0
universitas muhammadiyah jember,teknik lingkungan,999.0
universitas panca marga,teknik industri,999.0
universitas panca marga,teknik mesin,999.0
universitas hang tuah,teknik elektro,999.0
universitas pgri ronggolawe,teknik industri,999.0
universitas islam raden rahmat,teknik elektro,999.0
universitas islam raden rahmat,teknik mesin,999.0
universitas nahdlatul ulama sunan giri,teknik mesin,999.0
universitas internasional semen indonesia,manajemen rekayasa,999.0
universitas insan budi utomo,teknik kimia,999.0
institut teknologi adhi tama surabaya,teknik lingkungan,999.0
institut teknologi nasional malang,teknik geodesi,999.0
institut teknologi nasional malang,teknik lingkungan,999.0
universitas hindu indonesia,teknik sipil,999.0
universitas hamzanwadi,teknik lingkungan,999.0
universitas pendidikan mandalika,teknik sipil,999.0
universitas tomakaka,teknik sipil,999.0
stitek dharma yadi makassar,teknik mesin,999.0
akademi maritim indonesia aipi,teknika,999.0
universitas bung hatta,teknik elektro,999.0
universitas bung hatta,teknik kimia,999.0
universitas bung hatta,teknologi rekayasa energi terbarukan,999.0
universitas muhammadiyah riau,mesin otomotif,999.0
universitas dharma andalas,teknik sipil,999.0
universitas pahlawan tuanku tambusai,teknik industri,999.0
institut teknologi mitra gama,teknik sipil,999.0
politeknik caltex,teknologi rekayasa jaringan telekomunikasi,999.0
politeknik jambi,teknik elektronika,999.0
politeknik jambi,teknik listrik,999.0
universitas 17 agustus 1945 samarinda,teknik sipil,999.0
universitas antakusuma,teknik mesin,999.0
politeknik batulicin,teknik perkapalan,999.0
universitas darussalam ambon,teknik industri,999.0
politeknik aceh selatan,teknik mesin,999.0
universitas muhammadiyah sorong,teknik lingkungan,999.0
institut teknologi dan bisnis karya pembangunan papua,teknik sipil,999.0
universitas kristen indonesia tomohon,teknik sipil,999.0
universitas tompotika luwuk banggai,teknik sipil,999.0
politeknik energi dan mineral akamigas,teknik instrumentasi kilang,999.0
politeknik energi dan mineral akamigas,teknik pengolahan minyak dan gas,999.0
politeknik kelautan dan perikanan bone,teknik kelautan,999.0
politeknik pelayaran surabaya,teknika,999.0
politeknik ati padang,teknik kimia bahan nabati,999.0
akademi metrologi dan instrumentasi,metrologi dan instrumentasi,999.0
politeknik pekerjaan umum,teknologi konstruksi bangunan air,999.0
politeknik pekerjaan umum,teknologi konstruksi bangunan gedung,999.0
sekolah tinggi manajemen informatika dan komputer alfath,teknik informatika,999.0
universitas ottow geissler,sistem informasi,999.0
institut bakti nusantara,manajemen informatika,999.0
universitas mohammad husni thamrin jakarta,sistem informasi,999.0
universitas maarif nahdlatul ulama kebumen,teknik informatika,999.0
universitas ciputra surabaya,informatika,999.0
politeknik internasional tamansiswa mojokerto,teknologi komputer,999.0
universitas djuanda,ilmu komputer,999.0
universitas merangin,sistem informasi,999.0
universitas tanri abeng,sistem informasi,999.0
universitas halim sanusi,teknik informatika,999.0
universitas kristen satya wacana,teknik informatika,999.0
universitas nusa putra,teknik informatika,999.0
universitas pembinaan masyarakat indonesia,teknologi informasi,999.0
universitas methodist indonesia,komputerisasi akuntansi,999.0
sekolah tinggi manajemen informatika dan komputer jakarta stik,manajemen informatika,999.0
universitas ciputra surabaya,sistem informasi,999.0
stmik dci,teknik informatika,999.0
universitas bale bandung,teknik informatika,999.0
sekolah tinggi teknologi terpadu nurul fikri,sistem informasi,999.0
politeknik negeri sriwijaya,manajemen informatika,999.0
universitas tama jagakarsa,sistem informasi,999.0
institut teknologi dan bisnis sabda setia,sistem dan teknologi informasi,999.0
institut sains dan teknologi alkamal,teknik informatika,999.0
universitas satyagama,teknik informatika,999.0
universitas bangka belitung,teknologi informasi,999.0
universitas islam lamongan,teknik informatika,999.0
universitas muhammadiyah gorontalo,ilmu komputer,999.0
institut teknologi nasional bandung,sistem informasi,15.0
institut bisnis dan informatika kosgoro 1957,teknik informatika,999.0
institut teknologi sapta mandiri,teknologi informasi,999.0
institut teknologi sapta mandiri,sistem informasi,999.0
universitas nurul hasanah kutacane,sistem informasi,999.0
universitas mitra indonesia,sistem informasi,999.0
universitas akprind indonesia,rekayasa sistem komputer,999.0
universitas hkbp nommensen pematangsiantar,ilmu komputer,999.0
universitas hamzanwadi,teknik informatika,999.0
universitas pendidikan indonesia,sistem informasi kelautan,17.0
universitas putera batam,sistem informasi,999.0
universitas nahdlatul ulama al ghazali cilacap,informatika,999.0
amik bukittinggi,manajemen informatika,999.0
politeknik caltex,teknologi rekayasa komputer,999.0
sekolah tinggi ilmu komputer pgri banyuwangi,teknik informatika,999.0
universitas bali internasional,informatika,999.0
institut digital ekonomi lpkia,komputerisasi akuntansi,999.0
politeknik negeri malang,sistem informasi bisnis,999.0
politeknik elektronika negeri surabaya,teknik informatika,999.0
universitas gunadarma,sistem komputer,999.0
universitas gunadarma,informatika,999.0
politeknik negeri ujung pandang,teknik komputer dan jaringan,999.0
universitas negeri surabaya,sains data,999.0
universitas negeri surabaya,teknik informatika,999.0
universitas surakarta,sistem komputer,999.0
universitas mercu buana,sistem informasi,999.0
universitas riau,teknik informatika,999.0
institut seni indonesia yogyakarta,animasi,999.0
universitas wiraraja,sistem informasi,999.0
stikom tunas bangsa,teknik informatika,999.0
universitas syiah kuala,manajemen informatika,23.0
universitas gadjah mada,elektronika dan instrumentasi,2.0
universitas brawijaya,sistem informasi,9.0
universitas yayasan pendidikan imam bonjol majalengka,ilmu komputer,999.0
universitas teknologi digital indonesia,teknik komputer,999.0
universitas trunojoyo,sistem informasi,999.0
stmik widya cipta dharma,teknik informatika,999.0
politeknik negeri batam,rekayasa keamanan siber,999.0
universitas mahkota tricom unggul,teknologi informasi,999.0
universitas panca marga,informatika,999.0
